"","x"
"39","랑종별점 - 총 10점 중7Hgfdryuuvff 신고"
"40","랑종별점 - 총 10점 중8관람후 이동진 평론가님이 해설해주신거 보시면 나쁘지않은 영화라 느끼실수있습니다 신고"
"41","랑종별점 - 총 10점 중10온갖 고어물 공포물 매니아입니다. 기존 공포물과는 다른 공포, 기분나쁨, 재밌게 잘 봤어요 신고"
"42","랑종별점 - 총 10점 중4태국 서민들의 삶을 엿볼수있는건 좋았지만 초반부의 지루함,,딱히 공포스럽지는 않고 내용이 별로없음 신고"
"43","랑종별점 - 총 10점 중1초반에는 정말 재미없었고 한숨만나왔는데 여주인공 배드신은 볼만함. 그거빼고 기억나는건... 좀비물?ㅋㅋ 배우들이 연기를 잘해서 망정이지 그거라도 없었으면 망작이였을듯. 결론 : 돈내고 봤는데 돈이 아깝다 신고"
"44","랑종별점 - 총 10점 중1노잼..ㅠㅠ너무재미없음.. 신고"
"45","랑종별점 - 총 10점 중8영화 보는내내 심장이 쫄깃했다. 진짜 잘만든 영화 신고"
"46","랑종별점 - 총 10점 중8클라이막스가 조금 급하게 흘러간다는 거 빼고는 재미있게 보았습니다. 신고"
"47","랑종별점 - 총 10점 중1돈아깝고 시간아깝고 그냥 다 아까운영화. 공포매니아라 가서 봤는데 공포요소 1도없고 그냥 후회만 해요 신고"
"48","랑종별점 - 총 10점 중1첫시작부터 끝까지 답답한영화.... 재미없는 영화도 나름 재밌게 보는 나인데..  진짜 랑종은 그냥 최악.. 신고"
"49","랑종별점 - 총 10점 중10전 개인적으로 되게 만족스러웠습니다. 오랜만에 등골이 서늘하네요. 신고"
"50","랑종별점 - 총 10점 중6신고"
"51","랑종별점 - 총 10점 중4도대체 무서울 틈이 없네.. 극강의 공포는 어느 부분에서 느껴야하는건지..?! 신고"
"52","랑종별점 - 총 10점 중1제목은 랑종인데 무당은 수단이고 잡귀에 빙의된 여자가 어떻게 파멸하는지를 아주 폭력적으로 담고 있는 영화.. 이딴 걸 돈 주고 보다니 돈이 너무 아깝군요.. 신고"
"53","랑종별점 - 총 10점 중4이해 안되는거 천지의 영화 귀신들린 집에 문안잠그고 애기랑 한집에 놔두고 그 위험한 여자를 막기위해 남자 한명 집에 놔두고 ㅋㅋㅋ 신고"
