"","x"
"56","보스 베이비 2별점 - 총 10점 중10온 가족이 함께할 수 있는 영화 신고"
"57","보스 베이비 2별점 - 총 10점 중10늘 느끼는거지만 진짜 미쿡 애니는 상상력이 진짜 풍부^^재미도 재미지만 이번엔 감동까지 느껴짐~~ 신고"
"58","보스 베이비 2별점 - 총 10점 중101편 만큼이나 잼나요 기대하고 봤는데도ㅎ 신고"
"59","보스 베이비 2별점 - 총 10점 중10귀여움과 재밌음의 적절한 조화가 굿 신고"
"60","보스 베이비 2별점 - 총 10점 중8꿀잼 신고"
"61","보스 베이비 2별점 - 총 10점 중101편과 이어지는 내용이 자연스럽고 새로운 내용이라 더 재밌게 봤어요 신고"
"62","보스 베이비 2별점 - 총 10점 중10캐릭터가 귀엽고 스토리도 귀엽당 히히 신고"
"63","보스 베이비 2별점 - 총 10점 중10역시나 기대 이상으로 재밌게 본 보스 베이비2 신고"
"64","보스 베이비 2별점 - 총 10점 중2재미없어요ㅠ 졸았음. 거기에 가족애 감동 한방울 정도.. 보스베이비1은 잼있었는데 ㅡㅡ;;; 네티즌 평점 이해가 안가네요ㅠ 신고"
"65","보스 베이비 2별점 - 총 10점 중10짱이에요~ 잼있게 봤어요~ 신고"
"66","보스 베이비 2별점 - 총 10점 중10너무 좋아요! 어린시절로 돌아가 동생과 뛰놀고 싶네요! 신고"
"67","보스 베이비 2별점 - 총 10점 중10기분 좋게 볼 애니메이션으로서 딱 적합ㅎㅎ 신고"
"68","보스 베이비 2별점 - 총 10점 중9캐릭터들 너무너무 귀여워 진짜... 갖구싶다 베비들... 신고"
"69","보스 베이비 2별점 - 총 10점 중10쓸떼없는 장면이 없어서 좋았고 가족얘기에 울컥하고 결국 울었네요 시즌1 재밌게봤었는데 결국 끝나고도 울었음... 신고"
"70","보스 베이비 2별점 - 총 10점 중10상상력이 참 풍부ㅋㅋㅋ애니메이션을 이렇게 재밌게 보다니 신고"
"71","보스 베이비 2별점 - 총 10점 중10귀여웠어요 다시 보고싶어요^^! 신고"
"72","보스 베이비 2별점 - 총 10점 중10애기가 일한다는거ㅜㅜ 너무 귀여움ㅜㅜ 신고"
"73","보스 베이비 2별점 - 총 10점 중9성인인 내가 봐도 행복해진다 신고"
"74","보스 베이비 2별점 - 총 10점 중10아이들의 시각에서 벗어난 독특한 애니메이션이며 어른들도 재밌게 볼 수 있습니다~! 신고"
"75","보스 베이비 2별점 - 총 10점 중10너무 즐겁고 유익한 시간이 되었습니다 신고"
"76","보스 베이비 2별점 - 총 10점 중10교훈도 있고 감동도 있네여 신고"
"77","보스 베이비 2별점 - 총 10점 중10생각보다 잼나게 봤어요~~ 만족~~ 신고"
"78","보스 베이비 2별점 - 총 10점 중10아기가 귀여워서 더 재미있었다ㅋㅋㅋ 신고"
"79","보스 베이비 2별점 - 총 10점 중10재미와 감동 다 잡은 애니메이션!! 신고"
"80","보스 베이비 2별점 - 총 10점 중101도 재밌게 봤는데 2도 재밌고 아기들이 너무 귀여워요.. 신고"
"81","보스 베이비 2별점 - 총 10점 중10재밌네요 꿀잼입니당ㅎㅎ 신고"
"82","보스 베이비 2별점 - 총 10점 중10어린시절은 영원히 되돌아 오지 않는다는 대사가.. 왜케 뭉클하던지ㅠㅠ 신고"
"83","보스 베이비 2별점 - 총 10점 중10가족들이랑 보기도 좋은 영화인듯 신고"
"84","보스 베이비 2별점 - 총 10점 중10주제도 괜찮고 연출도 1편보다 더 좋았음 신고"
"85","보스 베이비 2별점 - 총 10점 중2너무 돈벌려고 만든 느낌이네요. 개연성도 떨어지고 악당의 연출 요소도 부족했음, 1편보다 너무 별로 스토리가 하나도 안탄탄하고 마지막에 대충 감동적인 요소 끼워서 만든 느낌 신고"
"86","보스 베이비 2별점 - 총 10점 중101편 보신분들은 2편  꼭 보세요^-^ 신고"
"87","보스 베이비 2별점 - 총 10점 중6왜이리평점이높은지.... 신고"
"88","보스 베이비 2별점 - 총 10점 중10너무 귀여웠고,거기에 감동적인 포인트까지ㅠㅠ울뻔ㅠㅠ 신고"
"89","보스 베이비 2별점 - 총 10점 중10진짜 너무 재밌어요 제발 보세요 보스베이비 1을 7번 봤어서 믿고봤는데 역시 보스베이비는..하 진짜 감동 포인트도 많이 있고 보스 베이비 1 좋아하는 사람들은 무조건 보셔야 해요 꼭 보세요 신고"
"90","보스 베이비 2별점 - 총 10점 중101편 만큼 재미있고 의미있네요 신고"
"91","보스 베이비 2별점 - 총 10점 중10너무 감동적이여따구!!! 신고"
"92","보스 베이비 2별점 - 총 10점 중10보스 베이비2 재밌어요! 보길 잘한듯~~! 신고"
"93","보스 베이비 2별점 - 총 10점 중10진짜 너무 귀엽고 재미있네요 ~^^ 신고"
"94","보스 베이비 2별점 - 총 10점 중10너무너무 재밌게 봤습니다... 뭔가 보면서 벌써 주인공들이 성인이 됐다고 생각하니 나도 같이 나이를 먹은 것 같다는 생각이..ㅎㅎ 아무튼 너무 재미있게 봤고 보스베이비 짱! 신고"
"95","보스 베이비 2별점 - 총 10점 중6글쎄요 1에 비해서 별로였어요더 화려해졌지만 ..심지어 영화 보다가 졸리기까지 신고"
"96","보스 베이비 2별점 - 총 10점 중10신고"
"97","보스 베이비 2별점 - 총 10점 중10감덩ㅠㅠ 어린이 영화수준이상의 감동 신고"
"98","보스 베이비 2별점 - 총 10점 중10보스베이비 볼땡이 넘넘 귀여워..ㅜㅜㅜ 신고"
"99","보스 베이비 2별점 - 총 10점 중10이거 존잼이에옹 애기가 부르는 노래도 좋았던ㅎㅎㅎ 신고"
"100","보스 베이비 2별점 - 총 10점 중10가족의 소중함을 다시 한번 느끼게 해준다 신고"
"101","보스 베이비 2별점 - 총 10점 중10생각보다 훨씬 더 재미있었어요 감동도 있구! 신고"
"102","보스 베이비 2별점 - 총 10점 중10너무 재밌었습니다... 후반이 꿀잼이에요..ㅜㅜㅜ 신고"
"103","보스 베이비 2별점 - 총 10점 중10등장인물들이 큰 모습과 형제자매간의 사랑과 부모자식간의 사랑을 잘 녹여낸 것 같았구 노래도 좋았음!! 신고"
"104","보스 베이비 2별점 - 총 10점 중6지나간 어린 시절을 떠올리게 하는 영화 신고"
"105","보스 베이비 2별점 - 총 10점 중10존잼이다 미쳤다... 신고"
"106","보스 베이비 2별점 - 총 10점 중2지나치게 산만함 애들은 좋아할듯 신고"
"107","보스 베이비 2별점 - 총 10점 중10재미있게 잘봤습니다 좋은 영화 감사합니다 신고"
"108","보스 베이비 2별점 - 총 10점 중10재밌고 귀여워 보스+_+ 신고"
"109","보스 베이비 2별점 - 총 10점 중10또 보러간건데 재미있어용 두번봐도 존잼! 신고"
"110","보스 베이비 2별점 - 총 10점 중10시즌1보다는더화려해진거같음 신고"
"111","보스 베이비 2별점 - 총 10점 중101편 보다 뮤지컬 적인 요소가 많아져서 그런가 넘 재밌게 봤어여ㅋㅋㅋ 신고"
"112","보스 베이비 2별점 - 총 10점 중10아이도 어른도 재밌게 잘 봤습니다 가족의 소중함을 느끼게 해주네요 신고"
"113","보스 베이비 2별점 - 총 10점 중10아직까지 보스베이비2 안 본 사람이랑 겸상안함 신고"
"114","보스 베이비 2별점 - 총 10점 중10치명적 매력을 가진 아가들이 나옵니닼ㅋㅋㅋ아기 좋아하시면 꼭 보세요 심쿵.... 신고"
"115","보스 베이비 2별점 - 총 10점 중10캐릭터들 귀엽고 영상미가 넘 좋아ㅎㅎㅎ 신고"
"116","보스 베이비 2별점 - 총 10점 중10성인이 봐도 재밌다 영상미랑 노래까지 굿 신고"
"117","보스 베이비 2별점 - 총 10점 중10유쾌해요 즐거워요 베이비들 맨날 보고싶어요 신고"
"118","보스 베이비 2별점 - 총 10점 중10귀여움과 영상미 만큼은 최고다 신고"
"119","보스 베이비 2별점 - 총 10점 중10귀여움은 여전히 최고 신고"
"120","보스 베이비 2별점 - 총 10점 중10속편이지만 재미있네요ㅋㅋ 신고"
"121","보스 베이비 2별점 - 총 10점 중101편도 2편도 상상력이 대단한 것 같아요!! 신고"
"122","보스 베이비 2별점 - 총 10점 중7정신없다..감동이 부족하다 신고"
"123","보스 베이비 2별점 - 총 10점 중10존잼이다ㅠ 또 볼거야!!! 신고"
"124","보스 베이비 2별점 - 총 10점 중10스토리도 짜임새있고 좋네유! 주말에 가족들이랑 간만에 좋은 시간 보내고 왔어요ㅎㅎㅎ 신고"
"125","보스 베이비 2별점 - 총 10점 중10가족들과 함께라면 행복하지요ㅎ 신고"
"126","보스 베이비 2별점 - 총 10점 중10유쾌해서 기분 좋은 >< 신고"
"127","보스 베이비 2별점 - 총 10점 중10베이비주식회사 면접 보고싶습니다ㅋㅋㅋㅋ 신고"
"128","보스 베이비 2별점 - 총 10점 중10보스 베이비 캐릭터들은 달라.. 남달라.. 애기 주제에 내 맘을 들었다 놨다해 신고"
"129","보스 베이비 2별점 - 총 10점 중10시간 가는 줄 몰랏네요 ㅎㅎ1편도 찾아 봐야겠습니다 신고"
"130","보스 베이비 2별점 - 총 10점 중2내가 보스베이비 1편은 재밌게 봤던 사람인데왜 이딴 어거지를 만들어서 내놓는지는..개인적으로 이걸 보느니 다른 효율적인 일을 하시는게 좋을 듯 합니다 아동이 봐도 유치할것 같은 영화정신 산만하고 스토리 급조한 게 티가 납니다 신고"
"131","보스 베이비 2별점 - 총 10점 중10즐겁게 볼 수 있는 영화였네용ㅎ0ㅎ 신고"
"132","보스 베이비 2별점 - 총 10점 중10가족간의 사랑이 중요한 것임을 새삼스레 느끼게 해주는 휴먼 애니메이션:) 신고"
"133","보스 베이비 2별점 - 총 10점 중10애니메이션은 취향 아닌데 이건 재밌네ㅋㅋㅋ 신고"
"134","보스 베이비 2별점 - 총 10점 중10정말 재미있게 잘 보았어요~ 신고"
"135","보스 베이비 2별점 - 총 10점 중10보스베이비 덕분에 아이들과 좋은 시간 보내고 왔어요~ 신고"
"136","보스 베이비 2별점 - 총 10점 중10푹 빠져 봤어요. 너무 좋습니다^^ 신고"
"137","보스 베이비 2별점 - 총 10점 중10기대했던 영화라서 재미있게 잘 봤어요! 신고"
